,CO2,density,dBWT,dGMST,dGMSST
596,3.4327178440132955,0.004810881632576055,7.944918337452886,9.844510091950395,8.124854443735765
597,3.437489451278712,0.004595916481321036,7.952392856962153,9.852542460189255,8.131478590340047
598,3.4422676912581838,0.004389861623093653,7.959867376471421,9.860574828428113,8.138102736944326
599,3.447052573171435,0.0041923813196366976,7.967341895980688,9.868607196666973,8.144726883548607
600,3.4518441062510035,0.0040031509341237545,7.974816415489956,9.876639564905833,8.151351030152888
601,3.4566422997422612,0.003821856632305177,7.982290934999224,9.884671933144691,8.157975176757168
602,3.461447162903432,0.0036481950887907555,7.9897654545084915,9.892704301383551,8.164599323361449
603,3.4662587050056084,0.0034818731985089336,7.997239974017759,9.900736669622411,8.171223469965728
604,3.4710769353327713,0.003322607793373891,8.004714493527025,9.90876903786127,8.17784761657001
605,3.4759018631818037,0.0031701253641857755,8.012189013036295,9.916801406100127,8.18447176317429
606,3.4807334978625146,0.0030241617877817106,8.019663532545561,9.924833774338989,8.19109590977857
607,3.4855718486976532,0.002884462059450083,8.02713805205483,9.932866142577847,8.197720056382849
608,3.490416925022927,0.0027507800306127163,8.034612571564097,9.940898510816705,8.20434420298713
609,3.4952687361870214,0.0026228781517753257,8.042087091073364,9.948930879055565,8.210968349591411
610,3.5001272915516157,0.002500527220739938,8.049561610582632,9.956963247294425,8.217592496195692
611,3.5049926004914047,0.002383506136067715,8.0570361300919,9.964995615533283,8.224216642799972
612,3.50986467239411,0.002271601655776292,8.064510649601168,9.973027983772143,8.230840789404251
613,3.5147435166605066,0.0021646081612496978,8.071985169110434,9.981060352011003,8.237464936008532
614,3.519629142704435,0.0020623274263354557,8.079459688619703,9.989092720249861,8.244089082612813
615,3.5245215599528223,0.0019645683915983456,8.08693420812897,9.99712508848872,8.250713229217094
616,3.5294207778456985,0.0018711469436966234,8.094408727638239,10.00515745672758,8.257337375821374
617,3.5343268058362165,0.0017818856998422384,8.101883247147505,10.013189824966439,8.263961522425653
618,3.5392396533906676,0.0016966137973035717,8.109357766656773,10.021222193205297,8.270585669029934
619,3.5441593299885037,0.0016151666879048792,8.11683228616604,10.029254561444157,8.277209815634215
620,3.5490858451223524,0.0015373859374744625,8.124306805675308,10.037286929683017,8.283833962238496
621,3.5540192082980364,0.001463119030189556,8.131781325184576,10.045319297921875,8.290458108842776
622,3.558959429034593,0.0013922191777640505,8.139255844693844,10.053351666160735,8.297082255447055
623,3.56390651686429,0.0013245451334218685,8.146730364203112,10.061384034399595,8.303706402051336
624,3.568860481332645,0.0012599610105969393,8.154204883712378,10.069416402638453,8.310330548655617
625,3.5738213319984475,0.0011983361062979639,8.161679403221648,10.077448770877313,8.316954695259899
626,3.578789078433769,0.0011395447290748683,8.169153922730914,10.085481139116172,8.323578841864178
627,3.58376373022399,0.0010834660315210977,8.176628442240183,10.09351350735503,8.330202988468457
628,3.5887452969678146,0.0010299838472451301,8.18410296174945,10.101545875593889,8.336827135072738
629,3.593733788277289,0.0009789865322422182,8.191577481258717,10.10957824383275,8.34345128167702
630,3.5987292137778204,0.0009303668105967644,8.199052000767985,10.117610612071609,8.3500754282813
631,3.603731583108197,0.0008840216244439215,8.206526520277253,10.125642980310467,8.35669957488558
632,3.6087409059206026,0.0008398519881184055,8.21400103978652,10.133675348549327,8.36332372148986
633,3.61375719188064,0.0007977628464171045,8.221475559295786,10.141707716788186,8.36994786809414
634,3.6187804506673467,0.0007576629369018983,8.228950078805056,10.149740085027045,8.376572014698421
635,3.6238106919732154,0.0007194646561678397,8.236424598314322,10.157772453265904,8.383196161302703
636,3.628847925504211,0.0006830839300016864,8.243899117823592,10.165804821504764,8.389820307906982
637,3.63389216097979,0.0006484400873552567,8.251373637332858,10.173837189743622,8.396444454511261
638,3.638943408132919,0.0006154557380576918,8.258848156842125,10.181869557982482,8.403068601115542
639,3.644001676710096,0.0005840566541906904,8.266322676351393,10.189901926221342,8.409692747719824
640,3.649066976471363,0.0005541716550505605,8.273797195860661,10.1979342944602,8.416316894324105
641,3.654139317190331,0.0005257324956209144,8.281271715369929,10.205966662699058,8.422941040928384
642,3.6592187086541985,0.0004986737584800581,8.288746234879195,10.213999030937918,8.429565187532663
643,3.664305160663766,0.0004729327490672269,8.296220754388465,10.222031399176778,8.436189334136944
644,3.6693986830334584,0.0004484493942320869,8.30369527389773,10.230063767415636,8.442813480741226
645,3.6744992855913434,0.00042516614399231974,8.311169793407,10.238096135654496,8.449437627345507
646,3.679606978179148,0.0004030278764244651,8.318644312916266,10.246128503893356,8.456061773949786
647,3.6847217706522826,0.00038198180561374345,8.326118832425534,10.254160872132214,8.462685920554065
648,3.689843672879855,0.0003619773925891469,8.333593351934802,10.262193240371074,8.469310067158347
649,3.694972694744693,0.00034296625917063417,8.34106787144407,10.270225608609934,8.475934213762628
650,3.700108846143359,0.00032490210465603553,8.348542390953337,10.278257976848792,8.482558360366909
651,3.7052521369861755,0.00030774062527589706,8.356016910462603,10.28629034508765,8.489182506971188
652,3.7104025771972386,0.000291439436345408,8.363491429971873,10.294322713326512,8.495806653575467
653,3.715560176714441,0.00027595799704325006,8.370965949481139,10.30235508156537,8.502430800179749
654,3.720724945489486,0.0002612575377481895,8.378440468990409,10.310387449804228,8.50905494678403
655,3.7258968934879135,0.00024730098986498956,8.385914988499675,10.318419818043088,8.51567909338831
656,3.7310760306891146,0.00023405291807239429,8.393389508008942,10.326452186281948,8.52230323999259
657,3.7362623670863524,0.00022147945492666214,8.40086402751821,10.334484554520806,8.52892738659687
658,3.741455912686781,0.00020954823775531464,8.408338547027478,10.342516922759666,8.53555153320115
659,3.746656677511466,0.00019822834777669804,8.415813066536746,10.350549290998526,8.542175679805432
660,3.7518646715953987,0.00018749025138208093,8.423287586046012,10.358581659237384,8.548799826409713
661,3.7570799049875236,0.00017730574351799026,8.430762105555281,10.366614027476244,8.555423973013992
662,3.762302387750752,0.00016764789310773386,8.438236625064548,10.374646395715104,8.562048119618272
663,3.7675321299619826,0.00015849099045199433,8.445711144573817,10.382678763953962,8.568672266222553
664,3.7727691417121227,0.00014981049654965415,8.453185664083083,10.39071113219282,8.575296412826834
665,3.7780134331061057,0.00014158299428104675,8.460660183592351,10.39874350043168,8.581920559431115
